Date,Open,High,Low,Close,Volume
2024-04-23,19550,19680,18840,18870,236062
2024-04-24,19070,19710,19060,19450,191012
2024-04-25,19120,19980,19070,19760,172914
2024-04-26,20200,21300,19990,21100,458768
2024-04-29,21400,21500,20100,21050,252263
2024-04-30,20950,21050,20350,20400,160499
2024-05-02,20200,20650,19910,20250,135941
2024-05-03,20500,20600,19840,19950,97520
2024-05-07,20150,20750,20100,20550,143330
2024-05-08,20350,20500,19700,20000,207056
2024-05-09,20150,20900,19980,20650,182130
2024-05-10,20600,21150,20400,20700,203602
2024-05-13,20750,21200,20650,21150,186665
2024-05-14,21100,21150,19870,19870,370322
2024-05-16,20100,20300,19940,20000,134443
2024-05-17,19880,20200,19530,19650,143959
2024-05-20,19620,19720,19300,19300,129339
2024-05-21,19330,19450,19120,19360,75136
2024-05-22,19450,19650,19240,19370,68170
2024-05-23,19450,19450,18950,18980,123658
2024-05-24,18940,19090,18670,18990,85295
2024-05-27,19080,19280,18760,19010,132467
2024-05-28,19010,19450,18940,19330,96063
2024-05-29,19380,19700,19090,19090,106851
2024-05-30,19080,19180,18670,18760,108927
2024-05-31,19150,19600,19100,19330,114132
2024-06-03,19360,19960,19190,19890,116499
2024-06-04,19890,19960,19690,19860,83725
2024-06-05,19860,20350,19800,20150,135642
2024-06-07,20300,20700,20150,20500,110579
2024-06-10,20500,20600,19960,20300,98881
2024-06-11,20800,20800,20200,20250,93087
2024-06-12,20250,20700,20250,20700,86808
2024-06-13,20750,21950,20650,21750,350944
2024-06-14,21600,21650,20400,20550,222460
2024-06-17,20650,20700,20050,20050,83861
2024-06-18,20200,21300,20200,21250,160395
2024-06-19,21400,21800,20900,21100,145959
2024-06-20,21400,21450,20850,21050,71773
2024-06-21,20950,21300,20450,20700,69511
2024-06-24,20650,20750,19990,20100,158883
2024-06-25,19980,20150,19670,20000,108400
2024-06-26,19970,20150,19760,20150,60897
2024-06-27,19980,20100,19890,19990,39441
2024-06-28,19990,20300,19830,19950,49278
2024-07-01,19910,19930,19170,19310,137373
2024-07-02,19310,19420,19070,19390,67044
2024-07-03,19490,19490,19140,19200,67689
2024-07-04,19240,19300,19080,19250,43145
2024-07-05,19450,19450,18870,18990,96909
2024-07-08,18990,19300,18990,19240,29015
2024-07-09,19240,19350,19010,19050,61408
2024-07-10,19050,19180,18900,19150,51354
2024-07-11,19200,19340,19130,19150,33654
2024-07-12,19010,19150,18940,19060,39248
2024-07-15,19070,19220,19070,19140,27335
2024-07-16,19140,19140,18800,18800,60819
2024-07-17,18810,19190,18580,18790,52345
2024-07-18,18790,18790,18330,18530,89197
2024-07-19,18590,18770,18420,18600,35923
2024-07-22,18620,18740,17990,18100,76428
2024-07-23,18100,18350,18100,18220,37945
2024-07-24,18140,18310,18110,18230,60944
2024-07-25,18000,18160,17640,17900,52548
2024-07-26,17830,18110,17800,17960,48179
2024-07-29,18040,18390,17990,18380,41012
2024-07-30,18370,18370,17650,17720,72035
2024-07-31,17720,18580,17500,18520,97467
2024-08-01,18610,19160,18600,18640,48126
2024-08-02,18300,18390,17670,17770,58903
2024-08-05,17500,17500,16390,16740,189262
2024-08-06,16760,17700,16760,17590,64947
2024-08-07,17500,17720,17360,17360,48244
2024-08-08,17200,17710,17100,17620,38596
2024-08-09,17800,18040,17750,17800,43205
2024-08-12,17940,18000,17800,17830,17098
2024-08-13,17840,17960,17730,17850,14306
2024-08-14,18050,18320,17950,18200,47350
2024-08-16,18250,18520,18230,18470,61437
2024-08-19,18470,18500,18000,18090,36153
2024-08-20,18210,18550,18210,18520,42372
2024-08-21,18490,18560,18340,18490,16315
2024-08-22,18490,18500,18090,18150,20169
2024-08-23,18000,18130,17910,18100,26015
2024-08-26,18150,18150,17560,17730,32738
2024-08-27,17730,17860,17580,17820,17872
2024-08-28,17820,17890,17440,17520,27194
2024-08-29,17300,17740,17260,17700,31098
2024-08-30,17720,18640,17720,18620,137737
2024-09-02,18660,18660,18080,18110,25789
2024-09-03,18120,18120,17810,17840,23310
2024-09-04,17470,17470,17120,17210,33638
2024-09-05,17210,17430,17000,17150,22171
2024-09-06,17030,17170,16930,16960,30932
2024-09-09,16810,17500,16730,17330,43864
2024-09-10,17320,17650,17170,17540,32931
2024-09-11,17620,17630,17200,17280,17068
2024-09-12,17380,18240,17380,18240,62642
2024-09-13,18180,18180,17780,17860,17306
2024-09-19,17860,18170,17650,18170,45572
2024-09-20,18350,18500,18240,18250,42553
2024-09-23,18240,18360,18090,18190,20780
2024-09-24,18180,18310,18060,18170,12846
2024-09-25,18170,18290,17940,17940,21621
2024-09-26,18000,18410,18000,18300,34314
2024-09-27,18300,18360,18010,18050,20797
2024-09-30,18040,18060,17600,17760,33025
2024-10-02,17560,17620,17330,17450,31272
2024-10-04,17450,17580,17310,17370,18231
2024-10-07,17370,17540,17350,17520,15675
2024-10-08,17520,17520,17230,17240,24720
2024-10-10,17430,17640,17300,17490,20216
2024-10-11,17600,17830,17290,17420,26799
2024-10-14,17420,17480,17240,17360,15933
2024-10-15,17360,17370,17050,17170,40752
2024-10-16,17120,17130,16830,16970,36083
2024-10-17,17030,17220,16920,17100,31307
2024-10-18,17110,17180,16850,16950,15910
2024-10-21,17150,17150,16850,16970,11358
2024-10-22,16970,16970,16610,16790,27533
2024-10-23,16760,16920,16650,16840,12599
2024-10-24,16810,16820,16640,16660,10377
2024-10-25,16660,16720,16510,16510,14239
2024-10-28,16520,17230,16520,17120,40488
2024-10-29,17070,17120,16870,16920,9645
2024-10-30,16970,17080,16800,16930,15409
2024-10-31,16920,17050,16800,17040,10306
2024-11-01,16900,16920,16710,16730,10196
2024-11-04,16860,17280,16800,17200,34366
2024-11-05,17200,17200,17040,17070,5913
2024-11-06,17250,17250,16680,16870,20372
2024-11-07,17120,17500,17080,17290,43732
2024-11-08,17290,17460,17050,17170,20168
2024-11-11,17250,17300,16950,17040,21732
2024-11-12,17040,17100,16700,16750,36014
2024-11-13,16850,17290,16850,17050,107005
2024-11-14,17010,17260,16710,16890,32741
2024-11-15,17000,17000,16200,16600,48200
2024-11-18,16850,17190,16810,16990,66065
2024-11-19,17150,17150,16690,16730,31215
2024-11-20,16730,16830,16600,16700,17142
2024-11-21,16680,16880,16670,16740,16038
2024-11-22,16890,16900,16700,16810,26482
2024-11-25,16950,17020,16810,17000,24571
2024-11-26,17040,17210,16830,17200,37343
2024-11-27,17260,17260,16950,16970,18090
2024-11-28,16970,17030,16690,16710,27840
2024-11-29,16720,16860,16270,16270,45869
2024-12-02,16300,16440,16090,16150,29997
2024-12-03,16350,16620,16260,16610,81901
2024-12-04,16440,16550,15850,16150,66656
2024-12-05,16050,16200,15900,15910,34264
2024-12-06,15910,15950,15500,15880,58005
2024-12-09,15880,15880,15380,15400,35667
2024-12-10,15410,16130,15410,16090,21257
2024-12-11,16090,16420,16050,16390,23353
2024-12-12,16320,16500,16260,16400,24194
2024-12-13,16450,17190,16450,17100,60789
2024-12-16,17050,17200,17040,17090,13491
2024-12-17,17090,17090,16910,17040,8364
2024-12-18,16900,17050,16830,16940,11376
2024-12-19,16790,16850,16610,16800,15340
2024-12-20,16800,16800,16370,16470,43820
2024-12-23,16620,17350,16620,17240,60522
2024-12-24,17240,17320,17000,17100,15937
2024-12-26,17110,17220,16940,16940,46402
2024-12-27,16430,16690,16360,16470,19631
2024-12-30,16610,16880,16550,16570,52181
2025-01-02,16500,16660,16380,16520,12337
2025-01-03,16800,17130,16700,16970,83550
2025-01-06,17170,17310,17080,17170,44241
2025-01-07,17270,17270,16950,16950,20273
2025-01-08,16950,17160,16750,17120,26706
2025-01-09,17180,17230,16890,17060,16069
2025-01-10,17060,17060,16800,16860,28000
2025-01-13,16860,16860,16350,16420,35170
2025-01-14,16420,16640,16410,16500,11849
2025-01-15,16550,17110,16510,16640,56166
2025-01-16,16730,16830,16600,16610,22579
2025-01-17,16670,16750,16490,16580,23437
2025-01-20,16520,16650,16420,16490,34476
2025-01-21,16510,16650,16490,16550,18498
2025-01-22,16700,16940,16580,16910,31953
2025-01-23,16900,16900,16450,16490,28339
2025-01-24,16590,16590,16420,16470,14591
2025-01-31,16340,16470,16110,16400,27001
2025-02-03,16180,16400,15710,15860,35461
2025-02-04,15900,16190,15840,15880,26510
2025-02-05,15910,16340,15910,16120,22027
2025-02-06,16290,16730,16210,16600,36755
2025-02-07,16730,16930,16490,16900,31151
2025-02-10,16900,16950,16550,16770,24082
2025-02-11,16770,16830,16550,16600,34603
2025-02-12,16600,16800,16420,16730,32203
2025-02-13,16770,16930,16700,16820,67052
2025-02-14,16880,17100,16810,17090,79008
2025-02-17,17200,17200,16980,17100,23870
2025-02-18,17110,17200,17000,17100,20955
2025-02-19,17200,17460,17100,17390,56156
2025-02-20,17500,17540,17300,17350,81559
2025-02-21,17310,17370,17000,17350,34434
2025-02-24,17300,17300,17070,17150,30795
2025-02-25,17150,17150,16790,16820,36430
2025-02-26,16780,17020,16640,16940,34427
2025-02-27,16940,17130,16800,16890,29271
2025-02-28,16650,16790,16420,16660,47661
2025-03-04,16660,16950,16490,16880,49549
2025-03-05,16950,17220,16700,17050,36845
2025-03-06,17210,17210,16900,16920,28250
2025-03-07,16910,17100,16780,16920,23393
2025-03-10,16930,17070,16710,16810,22506
2025-03-11,16500,16600,16220,16400,42540
2025-03-12,16400,16650,16400,16560,40592
2025-03-13,16600,16970,16600,16790,48455
2025-03-14,16790,16930,16620,16800,29333
2025-03-17,16950,17160,16810,16890,37244
2025-03-18,16900,16970,16710,16750,32513
2025-03-19,16660,16950,16660,16890,40806
2025-03-20,16990,16990,16720,16780,32673
2025-03-21,16780,16900,16560,16680,25212
2025-03-24,16580,16620,16480,16520,37647
2025-03-25,16560,16660,16080,16150,48345
2025-03-26,16130,16300,16000,16240,36111
