Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-05-31 00:00:00-04:00,147.60413413220496,152.30598838583578,147.18012256185457,151.92909240722656,15664400,0.0,0.0
2024-06-03 00:00:00-04:00,150.7607123955965,153.76650639940962,149.65827641152313,150.9397430419922,4467800,0.0,0.0
2024-06-04 00:00:00-04:00,150.93972181971444,153.40842353723855,150.54397673063758,152.77711486816406,4215500,0.0,0.0
2024-06-05 00:00:00-04:00,153.49320194813208,156.395346581453,152.79594304855996,155.88653564453125,5100500,0.0,0.0
2024-06-06 00:00:00-04:00,155.93367043885547,159.1279119644272,154.8595011039993,158.8358154296875,5186700,0.0,0.0
2024-06-07 00:00:00-04:00,159.2409736768323,160.5035909642234,158.10083966930736,159.63671875,3781700,0.0,0.0
2024-06-10 00:00:00-04:00,159.24100140118395,160.88994668196543,158.00665037713912,160.61669921875,4247500,0.0,0.0
2024-06-11 00:00:00-04:00,160.41878823284387,160.7862668202092,157.75220694394798,158.0160369873047,3790200,0.0,0.0
2024-06-12 00:00:00-04:00,158.1856513726923,158.8075282635735,155.50022095341473,156.49900817871094,4725600,0.0,0.0
2024-06-13 00:00:00-04:00,156.41423435433592,157.26225758471048,155.4719799305146,156.94189453125,3690800,0.0,0.0
2024-06-14 00:00:00-04:00,156.85708538010604,159.467133998371,156.41422467809377,158.8546600341797,4377600,0.0,0.0
2024-06-17 00:00:00-04:00,158.67562942933085,160.56013816068946,157.69569121519504,159.8817138671875,4076000,0.0,0.0
2024-06-18 00:00:00-04:00,160.59783414191023,163.0194203514727,160.0607422597036,161.46470642089844,4250900,0.0,0.0
2024-06-20 00:00:00-04:00,161.295093443453,162.83097264158155,160.20208931965192,162.19024658203125,5847500,0.0,0.0
2024-06-21 00:00:00-04:00,162.72732549129924,162.94403996888013,159.79691384948265,160.55072021484375,12228100,0.0,0.0
2024-06-24 00:00:00-04:00,161.24798463457523,163.39632331067514,160.84280780498406,162.7650146484375,6249900,0.0,0.0
2024-06-25 00:00:00-04:00,162.1619721626042,163.39632300569474,160.76742543480844,160.88992309570312,4844600,0.0,0.0
2024-06-26 00:00:00-04:00,160.45647592504474,162.39753183008708,160.32456090020295,161.26681518554688,5576100,0.0,0.0
2024-06-27 00:00:00-04:00,161.39874088024496,161.6531535798513,158.06316681578727,159.2315673828125,5382000,0.0,0.0
2024-06-28 00:00:00-04:00,160.1738153129281,161.89814242533274,159.28809396121275,161.61546325683594,24463400,0.0,0.0
2024-07-01 00:00:00-04:00,161.37992852621872,163.83921328971917,159.74981792682232,160.53189086914062,5194500,0.0,0.0
2024-07-02 00:00:00-04:00,158.89237407757452,158.89237407757452,155.89599742052266,156.37655639648438,5965500,0.0,0.0
2024-07-03 00:00:00-04:00,156.49903982028528,157.4507260266469,154.07745333432217,154.37896728515625,3527600,0.0,0.0
2024-07-05 00:00:00-04:00,155.20813864554168,157.6485739765502,154.18108484830557,157.592041015625,5978300,0.0,0.0
2024-07-08 00:00:00-04:00,156.92304005818258,158.03490771670596,156.05616774318963,156.90420532226562,3500200,0.0,0.0
2024-07-09 00:00:00-04:00,157.3753196602148,158.7981184993935,155.3400468899114,158.34584045410156,4224600,0.0,0.0
2024-07-10 00:00:00-04:00,157.78050618576893,158.7227606441822,156.51788866213403,158.4306640625,3887800,0.0,0.0
2024-07-11 00:00:00-04:00,157.84646224992784,160.5130439464413,157.68628072609417,160.09844970703125,3689500,0.0,0.0
2024-07-12 00:00:00-04:00,160.77684673941116,161.71910098625264,160.08899078730255,160.44705200195312,4133500,0.0,0.0
2024-07-15 00:00:00-04:00,160.6182233511091,162.00654392738207,159.2013621237886,159.7814178466797,2395100,1.55,0.0
2024-07-16 00:00:00-04:00,160.32347500328083,161.51211282356095,159.04924423253885,160.89401245117188,3829500,0.0,0.0
2024-07-17 00:00:00-04:00,161.1887642174775,167.1129445283148,161.1887642174775,166.666015625,6983200,0.0,0.0
2024-07-18 00:00:00-04:00,165.88627994236415,168.00680560587892,162.3393889921399,162.73876953125,5957800,0.0,0.0
2024-07-19 00:00:00-04:00,165.14455980774733,165.31573117545585,162.81483290146738,163.86083984375,4293600,0.0,0.0
2024-07-22 00:00:00-04:00,164.81176683364632,166.15253922082644,163.5565583744701,165.0875244140625,4066900,0.0,0.0
2024-07-23 00:00:00-04:00,164.8117682158618,166.01941376232452,164.2887646868188,164.6501007080078,2933800,0.0,0.0
2024-07-24 00:00:00-04:00,164.69764179264672,167.93074514030025,164.45991424545477,167.5598907470703,6117700,0.0,0.0
