symbol,market,name,rsi_d,macd_d,signal_d,obv_d,signal_obv_9d,signal_obv_20d,market_cap,avg_trading_value_20d,today_trading_value,turnover,per,eps,cap_status,upper_closes,lower_closes,sector,sector_trend,ma20,ma50,ma200,break_20high,close_d,close
030200,KR,KT,"[69.21, 72.65, 76.66]","[1225.729, 1484.6077, 1830.0585]","[1004.6652, 1100.6537, 1246.5346]","[17616697.0, 16855907.0, 16312806.0]","[15742703.0, 15418372.0, 15124789.0]","[14931821.0, 14737621.0, 14566649.0, 14392238.0]",15801759649500.0,31249038235.0,47701533000.0,0.003018748168436379,16.4,3824.0,2026-02-11,2,0,Communication Services,상승(+8.50%) TIGER 미디어컨텐츠,"[56185.0, 55700.0, 55310.0]","[53964.0, 53718.0, 53512.0]","[52648.75, 52580.5, 52519.25]",1,"[62700, 60700, 59300]",62700.0
323410,KR,카카오뱅크,"[69.3, 71.9, 73.83]","[1063.0864, 1226.5307, 1392.4596]","[617.1898, 739.0579, 869.7383]","[65916040.0, 63036359.0, 56660691.0]","[46857782.0, 42965294.0, 39231496.0]","[34342405.0, 32086098.0, 29997692.0, 28189228.0]",13380170807850.0,87991215662.5,80775052050.0,0.00603692233903398,29.13,963.0,2026-02-11,1,0,Financials,상승(+28.17%) TIGER 200 금융,"[23655.0, 23322.5, 23027.5]","[22479.0, 22351.0, 22236.0]","[24480.75, 24445.5, 24412.75]",1,"[28050, 27400, 26600]",28050.0
071050,KR,한국금융지주,"[65.79, 69.74, 63.78]","[11995.3109, 13364.0722, 13566.2176]","[10930.4323, 11417.1603, 11846.9718]","[10564999.0, 10942465.0, 10619714.0]","[10758374.0, 10860345.0, 10881800.0]","[10638867.0, 10567301.0, 10465037.0, 10367882.0]",12621937188000.0,62689192525.0,85496049000.0,0.006773607547443929,7.85,28863.0,2026-02-11,1,1,Financials,상승(+28.17%) TIGER 200 금융,"[203185.0, 200575.0, 197370.0]","[179722.0, 178400.0, 176948.0]","[146955.0, 146174.5, 145351.5]",0,"[226500, 235500, 223500]",226500.0
005830,KR,DB손해보험,"[86.94, 87.91, 89.48]","[9110.8314, 10292.8962, 11580.3498]","[5369.2193, 6353.9547, 7399.2337]","[5282398.0, 5039201.0, 4787601.0]","[4133061.0, 3942331.0, 3748873.0]","[3490420.0, 3337640.0, 3188032.0, 3063099.0]",12336475200000.0,34975529595.0,43240426600.0,0.0035050876282716474,7.89,22524.0,2026-02-11,3,1,Financials,상승(+28.17%) TIGER 200 금융,"[142430.0, 139635.0, 137085.0]","[132044.0, 130978.0, 130062.0]","[125399.0, 124932.5, 124499.0]",1,"[177800, 171800, 168600]",177800.0
039490,KR,키움증권,"[66.35, 67.18, 66.69]","[34905.0378, 35463.0009, 35376.3567]","[30755.2864, 31696.8293, 32432.7348]","[8113792.0, 8227050.0, 8112237.0]","[8214290.0, 8226480.0, 8195658.0]","[7727551.0, 7662630.0, 7588086.0, 7514126.0]",12132685782500.0,68131438150.0,50682955000.0,0.004177389566381445,12.26,36496.0,2026-02-11,0,0,Financials,상승(+28.17%) TIGER 200 금융,"[389050.0, 382800.0, 376250.0]","[332000.0, 328510.0, 324940.0]","[248158.0, 246504.5, 244839.0]",0,"[447500, 449000, 443500]",447500.0
000250,KR,삼천당제약,"[77.75, 70.75, 69.99]","[72413.5654, 70894.807, 68657.6622]","[60850.1353, 62859.0696, 64018.7881]","[36941630.0, 37085622.0, 37415337.0]","[36945604.0, 36959889.0, 36894068.0]","[35144192.0, 34839147.0, 34554014.0, 34235649.0]",11963310720000.0,199862166050.0,73435920000.0,0.0061384278749219015,0.0,-486.0,2026-02-11,1,2,Health Care,하락(-0.23%) TIGER 헬스케어,"[417275.0, 404350.0, 392175.0]","[307780.0, 301910.0, 295840.0]","[215871.0, 214070.0, 212255.0]",0,"[510000, 513000, 540000]",510000.0
005940,KR,NH투자증권,"[65.3, 71.15, 72.75]","[1351.2867, 1478.1431, 1604.5618]","[1187.2063, 1245.3937, 1317.2273]","[51549819.0, 50333340.0, 48752625.0]","[48928587.0, 48383793.0, 47807801.0]","[45536062.0, 44894875.0, 44266259.0, 43669052.0]",10333986701000.0,28536668515.0,35277891000.0,0.0034137736016813555,11.83,2452.0,2026-02-11,2,2,Financials,상승(+28.17%) TIGER 200 금융,"[25090.0, 24720.0, 24362.5]","[22710.0, 22543.0, 22389.0]","[20116.75, 20037.55, 19961.35]",1,"[29000, 28450, 26750]",29000.0
079550,KR,LIG넥스원,"[41.42, 45.05, 44.26]","[-8505.7598, -8874.206, -9340.9464]","[5585.9882, 2693.9494, 286.9702]","[18692916.0, 18814319.0, 18631482.0]","[18710587.0, 18771432.0, 18829921.0]","[19123504.0, 19179957.0, 19237761.0, 19297029.0]",10065000000000.0,74933279375.0,55541872500.0,0.0055183181818181815,31.34,14600.0,2026-02-11,2,2,Industrials,상승(+36.33%) KODEX 산업재,"[499200.0, 504125.0, 509575.0]","[456870.0, 455380.0, 453950.0]","[475202.5, 474370.0, 473505.0]",0,"[457500, 461000, 448000]",457500.0
090430,KR,아모레퍼시픽,"[83.92, 82.36, 80.22]","[6664.6964, 8118.8931, 9069.9715]","[4268.9315, 5038.9238, 5845.1333]","[8990803.0, 9254176.0, 9775684.0]","[7883625.0, 7704449.0, 7423249.0]","[6648095.0, 6437585.0, 6203484.0, 5953191.0]",9534319717000.0,67015617965.0,42929799000.0,0.004502659893338251,71.21,2289.0,2026-02-11,2,1,Consumer Discretionary,상승(+18.52%) TIGER 200 경기소비재,"[136260.0, 134105.0, 131825.0]","[127640.0, 126866.0, 126084.0]","[127087.5, 126851.0, 126587.5]",0,"[163000, 164200, 165100]",163000.0
161390,KR,한국타이어앤테크놀로지,"[71.25, 77.22, 73.03]","[1905.8862, 2418.3891, 2712.5907]","[1622.1696, 1781.4135, 1967.649]","[8728194.0, 9213267.0, 8818657.0]","[7909967.0, 7747772.0, 7531680.0]","[7584390.0, 7457576.0, 7296912.0, 7142618.0]",9005717516300.0,25114490305.0,35264807100.0,0.003915824256775995,9.47,7677.0,2026-02-11,1,2,Consumer Discretionary,상승(+18.52%) TIGER 200 경기소비재,"[65790.0, 65130.0, 64355.0]","[62022.0, 61798.0, 61518.0]","[47844.75, 47672.0, 47494.5]",0,"[72700, 73700, 69800]",72700.0
326030,KR,SK바이오팜,"[33.13, 37.8, 37.65]","[-3630.3767, -3586.501, -3519.2308]","[-2957.3422, -3083.174, -3170.3853]","[15394206.0, 15588840.0, 15350913.0]","[15505317.0, 15574873.0, 15654468.0]","[15869873.0, 15911833.0, 15954243.0, 16019872.0]",8731927375000.0,29518321805.0,21701691000.0,0.0024853265571279444,27.25,4092.0,2026-02-11,0,4,Health Care,하락(-0.23%) TIGER 헬스케어,"[115965.0, 116460.0, 117000.0]","[124048.0, 124614.0, 125164.0]","[108513.0, 108475.5, 108430.5]",0,"[111500, 111600, 109700]",111500.0
