티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금,날짜
064820,케이프,47296,103108,55812,498219820,1085596810,587376990,20251219
042660,한화오션,433621,488176,54555,46865788650,52768726400,5902937750,20251219
417310,코람코더원리츠,22188,76473,54285,184515540,637917910,453402370,20251219
060250,NHN KCP,67825,122004,54179,1002733765,1796445305,793711540,20251219
001060,JW중외제약,48882,102362,53480,1387706650,2916585025,1528878375,20251219
450950,아스테라시스,30891,84025,53134,375559420,1015636965,640077545,20251219
003380,하림지주,303518,356495,52977,3066745085,3590025555,523280470,20251219
082800,비보존 제약,20931,73548,52617,87647550,308890215,221242665,20251219
023410,유진기업,79053,131564,52511,289164232,481852090,192687858,20251219
357120,코람코라이프인프라리츠,16936,68478,51542,73130163,295969950,222839787,20251219
000100,유한양행,97316,148835,51519,11304216400,17295810000,5991593600,20251219
020150,롯데에너지머티리얼즈,84003,134868,50865,2660090700,4263226475,1603135775,20251219
100090,SK오션플랜트,313516,363954,50438,6396767240,7437420775,1040653535,20251219
050890,쏠리드,149249,199218,49969,1149212070,1531708720,382496650,20251219
294570,쿠콘,13124,62705,49581,363164550,1735163075,1371998525,20251219
058970,엠로,16900,66211,49311,597159875,2338188625,1741028750,20251219
499790,GS피앤엘,27848,76182,48334,1225735050,3321987175,2096252125,20251219
034230,파라다이스,148205,196538,48333,2483854960,3298826405,814971445,20251219
001790,대한제당,76949,125262,48313,229749541,374171723,144422182,20251219
035600,KG이니시스,8710,56238,47528,93093735,603483450,510389715,20251219
041020,폴라리스오피스,53815,101133,47318,239188735,447981210,208792475,20251219
094820,일진파워,644264,691275,47011,8323807325,8917112420,593305095,20251219
377300,카카오페이,81713,128715,47002,3660729175,5771681575,2110952400,20251219
051370,인터플렉스,30721,76739,46018,331588135,826263170,494675035,20251219
042520,한스바이오메드,261481,307336,45855,8160863150,9524889600,1364026450,20251219
322000,HD현대에너지솔루션,83295,128880,45585,5173217550,8035098150,2861880600,20251219
092730,네오팜,24113,69367,45254,466336380,1340981720,874645340,20251219
068270,셀트리온,136907,181846,44939,25182203250,33456110050,8273906800,20251219
