symbol,market,name,sector,sector_trend,type,base_date,target_date,days_elapsed,close,market_cap,avg_trading_value_20d,today_trading_value,turnover,per,eps,cap_status,upper_closes,lower_closes,rsi_d,macd_d,signal_d,obv_d,signal_obv_9d,signal_obv_20d,ma20,ma50,ma200,break_20high,close_d,latest_close,latest_update,change_rate
078130,KOSDAQ,국일제지,Materials,상승(+1.88%) KODEX 소재산업,short,2026-04-23,2026-05-23,28,473.0,5333.0,7892311296.2,41286631804.0,0.0774172732120757,0.0,-2.0,2026-04-23,1,1,"[75.77, 69.61, 72.36]","[22.099, 27.1124, 32.7256]","[9.1431, 12.7369, 16.7347]","[241873506.0, 154586758.0, 257239284.0]","[181869100.0, 170037710.0, 167771297.0]","[156412545.0, 151253867.0, 150034571.0, 143648136.0]","[351.05, 344.05, 337.4]","[330.24, 327.66, 325.78]","[428.48, 430.12, 431.88]",1,"[473, 448, 470]",3925.0,2026-05-21,729.81
078520,KOSPI,에이블씨엔씨,Consumer Discretionary,상승(+3.94%) TIGER 200 경기소비재,short,2026-04-23,2026-05-23,28,14140.0,3678.0,1690324366.5,3542465920.0,0.0096315005981511,26.04,543.0,2026-04-23,3,1,"[62.51, 61.59, 67.67]","[340.3331, 374.2759, 462.8149]","[227.5095, 256.8628, 298.0532]","[35667980.0, 35417452.0, 35534723.0]","[35505435.0, 35486770.0, 35487628.0]","[35401068.0, 35386452.0, 35390904.0, 35400965.0]","[12410.0, 12343.0, 12332.5]","[11902.6, 11824.2, 11764.0]","[10818.15, 10786.35, 10757.35]",1,"[14140, 13310, 13380]",12810.0,2026-05-21,-9.41
448280,KOSDAQ,에코아이,Industrials,상승(+20.64%) KODEX 산업재,short,2026-04-23,2026-05-23,28,11240.0,3331.0,643307429.5,1830400280.0,0.0054950473731612,187.33,60.0,2026-04-23,1,2,"[42.92, 40.46, 50.6]","[-158.1566, -181.4742, -149.8117]","[-104.3564, -119.78, -125.7863]","[56108187.0, 55945340.0, 55983185.0]","[55979198.0, 55968895.0, 55982947.0]","[56132721.0, 56147131.0, 56170751.0, 56194437.0]","[11156.0, 11190.0, 11266.0]","[11249.2, 11225.4, 11220.6]","[12172.5, 12190.5, 12209.8]",0,"[11240, 10640, 10820]",11430.0,2026-05-21,1.69
058430,KOSPI,포스코스틸리온,Materials,상승(+1.88%) KODEX 소재산업,short,2026-04-23,2026-05-23,28,5090.0,3054.0,1369532951.5,13667601830.0,0.0447531166666666,17.92,284.0,2026-04-23,0,1,"[60.51, 60.51, 74.79]","[81.8087, 78.0091, 97.2771]","[86.7755, 85.0222, 87.4732]","[116550687.0, 113865500.0, 113865500.0]","[114163854.0, 113865500.0, 113865500.0]","[114047894.0, 113922302.0, 113930969.0, 113928061.0]","[4757.25, 4732.25, 4721.75]","[4599.3, 4580.7, 4569.1]","[4088.08, 4082.32, 4077.55]",1,"[5090, 4800, 4800]",6460.0,2026-05-21,26.92
012200,KOSPI,계양전기,Consumer Discretionary,상승(+3.94%) TIGER 200 경기소비재,short,2026-04-23,2026-05-23,28,7070.0,1925.0,11106073931.0,59314436650.0,0.3081269436363636,0.0,-1299.0,2026-04-23,0,2,"[47.66, 45.84, 56.21]","[-123.2848, -124.1451, -68.3616]","[-204.6305, -188.5334, -164.4991]","[168793204.0, 160403609.0, 160617253.0]","[161662774.0, 160636229.0, 160487384.0]","[157890031.0, 156764905.0, 156078364.0, 155368705.0]","[6405.0, 6354.5, 6362.5]","[7006.8, 7014.6, 7039.0]","[4009.71, 3981.64, 3957.08]",1,"[7070, 6380, 6500]",8940.0,2026-05-21,26.45
011700,KOSPI,한신기계,Industrials,상승(+20.64%) KODEX 산업재,short,2026-04-23,2026-05-23,28,4550.0,1476.0,3103231463.0,24208484300.0,0.1640141212737127,0.0,-14.0,2026-04-23,0,3,"[46.82, 45.77, 52.18]","[-43.6495, -50.4199, -35.2068]","[-51.239, -51.0752, -47.9015]","[260927038.0, 255606492.0, 255991809.0]","[256702445.0, 256122894.0, 256096355.0]","[256096757.0, 255896784.0, 255993106.0, 256022758.0]","[4379.25, 4381.75, 4413.25]","[4618.1, 4609.4, 4606.2]","[3778.18, 3776.1, 3774.6]",0,"[4550, 4300, 4345]",3720.0,2026-05-21,-18.24
001290,KOSPI,상상인증권,Financials,상승(+2.35%) TIGER 200 금융,short,2026-04-23,2026-05-23,28,1253.0,1357.0,1746937215.6,13493456760.0,0.0994359378039793,0.0,-54.0,2026-04-23,1,0,"[51.45, 50.68, 59.45]","[-3.9166, -2.7334, 7.8771]","[-3.8055, -3.5911, -1.2975]","[318260276.0, 307491356.0, 308364290.0]","[309091897.0, 307964581.0, 307962103.0]","[307937570.0, 307415325.0, 307510204.0, 307462036.0]","[1115.35, 1112.1, 1116.85]","[1147.52, 1137.08, 1129.18]","[813.48, 810.74, 808.54]",1,"[1253, 1132, 1141]",1137.0,2026-05-21,-9.26
039420,KOSDAQ,케이엘넷,Information Technology,상승(+24.31%) TIGER 200 IT,short,2026-04-23,2026-05-23,28,3165.0,726.0,408240183.75,2118391470.0,0.0291789458677685,8.22,385.0,2026-04-23,1,2,"[58.49, 61.15, 68.33]","[63.0247, 62.8151, 71.1089]","[45.6338, 49.07, 53.4778]","[24414194.0, 23744876.0, 23693019.0]","[23854996.0, 23749846.0, 23652464.0]","[23305306.0, 23226965.0, 23187952.0, 23147712.0]","[2937.75, 2924.5, 2919.25]","[2864.6, 2855.6, 2849.7]","[2906.22, 2905.55, 2905.52]",1,"[3165, 3050, 3015]",2855.0,2026-05-21,-9.79
376180,KOSDAQ,피코그램,Consumer Discretionary,상승(+3.94%) TIGER 200 경기소비재,short,2026-04-23,2026-05-23,28,2945.0,547.0,782061652.5,7926399765.0,0.1449067598720292,0.0,-59.0,2026-04-23,0,3,"[50.8, 48.65, 58.19]","[29.1582, 21.9524, 35.9997]","[26.3693, 25.486, 27.5887]","[199958292.0, 197266815.0, 197371428.0]","[197629708.0, 197315143.0, 197285285.0]","[197381825.0, 197270632.0, 197315130.0, 197384363.0]","[2725.0, 2722.75, 2737.0]","[2693.0, 2683.9, 2680.8]","[2815.05, 2815.88, 2818.38]",1,"[2945, 2695, 2745]",2275.0,2026-05-21,-22.75
147760,KOSDAQ,피엠티,Information Technology,상승(+24.31%) TIGER 200 IT,short,2026-04-23,2026-05-23,28,4745.0,513.0,874455369.5,12960080185.0,0.2526331420077973,0.0,-2077.0,2026-04-23,2,0,"[57.75, 56.2, 72.18]","[4.0543, 20.114, 103.4644]","[-84.7713, -63.7943, -30.3425]","[8934725.0, 6203412.0, 6263142.0]","[6592988.0, 6282436.0, 6311490.0]","[6509480.0, 6392646.0, 6412955.0, 6431193.0]","[3542.25, 3499.0, 3509.75]","[3899.3, 3887.7, 3897.4]","[3053.9, 3041.68, 3034.1]",1,"[4745, 3855, 3900]",8060.0,2026-05-21,69.86
