티커,종목명,날짜,외국인순매수,기관순매수
034230,파라다이스,20260512,-162626,20822
003380,하림지주,20260512,257291,-13215
052020,에스티큐브,20260512,55525,5204
281820,케이씨텍,20260512,57466,-40885
093370,후성,20260512,153853,-121344
490470,세미파이브,20260512,223018,-47011
036540,SFA반도체,20260512,624391,-265585
003470,유안타증권,20260512,657493,-298992
000210,DL,20260512,-7865,-32858
281740,레이크머티리얼즈,20260512,478290,-545113
160190,하이젠알앤엠,20260512,-18202,20452
100090,SK오션플랜트,20260512,3141,-43577
048410,현대바이오,20260512,665569,-52514
124500,아이티센글로벌,20260512,33166,-2409
066575,LG전자우,20260512,123045,6392
161580,필옵틱스,20260512,65960,11930
082640,동양생명,20260512,33714,15481
033790,피노,20260512,404070,206087
006340,대원전선,20260512,562888,-69959
003090,대웅,20260512,461,1144
036830,솔브레인홀딩스,20260512,20895,-6018
001740,SK네트웍스,20260512,766743,-97161
033100,제룡전기,20260512,147291,27914
199800,툴젠,20260512,-4617,2235
181710,NHN,20260512,-42543,-29086
007390,네이처셀,20260512,92693,-37150
126340,비나텍,20260512,48189,-35881
213420,덕산네오룩스,20260512,38532,-67488
204270,제이앤티씨,20260512,33820,-13996
456160,지투지바이오,20260512,6025,29803
003240,태광산업,20260512,260,-85
137400,피엔티,20260512,45155,-32615
415640,KB발해인프라,20260512,-21151,-24608
466100,클로봇,20260512,-124738,25321
456040,OCI,20260512,34950,6367
006110,삼아알미늄,20260512,37833,-48470
115180,큐리언트,20260512,-20649,-8151
388210,씨엠티엑스,20260512,32015,-32304
300720,한일시멘트,20260512,-2358,-28068
000670,영풍,20260512,8640,-3535
295310,에이치브이엠,20260512,60751,-29069
222080,씨아이에스,20260512,670782,-110625
083450,GST,20260512,-25441,3548
089860,롯데렌탈,20260512,-12407,12404
192080,더블유게임즈,20260512,4863,-7296
388720,유일로보틱스,20260512,-24181,130
330590,롯데리츠,20260512,60445,-62447
000080,하이트진로,20260512,-11333,-2827
000815,삼성화재우,20260512,16446,-10165
185750,종근당,20260512,-4036,-2618
009155,삼성전기우,20260512,3609,2282
376900,로킷헬스케어,20260512,-8614,9314
001510,SK증권,20260512,591415,-5415
056190,에스에프에이,20260512,50915,-35395
280360,롯데웰푸드,20260512,7338,-12030
005690,파미셀,20260512,258480,-43578
100840,SNT에너지,20260512,31854,-34561
005300,롯데칠성,20260512,-2525,-10466
050890,쏠리드,20260512,172857,-79162
365550,ESR켄달스퀘어리츠,20260512,-15908,-27152
