symbol,market,name,rsi_d,macd_d,signal_d,obv_d,signal_obv_9d,signal_obv_20d,market_cap,avg_trading_value_20d,today_trading_value,turnover,per,eps,cap_status,upper_closes,lower_closes,sector,sector_trend,ma20,ma50,ma200,break_20high,close_d
023600,KOSDAQ,삼보판지,"[43.48, 48.34, 37.01]","[-58.7581, -53.6329, -83.3082]","[-3.1844, -13.2741, -27.2809]","[1747747.0, 1783709.0, 1665607.0]","[1726730.0, 1733587.0, 1739520.0]","[1735991.0, 1730050.0, 1719045.0, 1713944.0]",1502.0,379148631.5,337323560.0,0.002245829294274301,5.61,1673.0,2026-05-18,1,2,Materials,상승(+1.52%) KODEX 소재산업,"[9898.0, 9933.0, 9943.0]","[9802.8, 9810.8, 9804.0]","[9639.55, 9645.2, 9649.6]",0,"[9380, 9810, 9680]"
066410,KOSDAQ,버킷스튜디오,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1596.0,0.0,0.0,0.0,0.0,-323.0,2026-05-18,0,0,Information Technology,상승(+50.13%) TIGER 200 IT,"[1153.0, 1153.0, 1153.0]","[1153.0, 1153.0, 1153.0]","[1153.0, 1153.0, 1153.0]",0,"[1153, 1153, 1153]"
246710,KOSDAQ,티앤알바이오팹,"[40.99, 33.75, 31.58]","[-122.9259, -138.0873, -155.1728]","[-76.2386, -88.6083, -101.9212]","[53622961.0, 54057882.0, 54726726.0]","[54333287.0, 54533681.0, 54717655.0]","[55384089.0, 55538371.0, 55693532.0, 55791643.0]",1146.0,1035362210.5,1045985005.0,0.009127268804537523,0.0,-993.0,2026-05-18,1,3,Health Care,하락(-10.05%) TIGER 헬스케어,"[2898.25, 2943.5, 2989.5]","[2983.6, 2998.1, 3003.5]","[2620.15, 2622.25, 2625.08]",0,"[2405, 2490, 2725]"
046070,KOSDAQ,코다코,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1592.0,0.0,0.0,0.0,0.0,-411.0,2026-05-18,0,0,Consumer Discretionary,상승(+25.74%) TIGER 200 경기소비재,"[10280.0, 10280.0, 10280.0]","[10280.0, 10280.0, 10280.0]","[10280.0, 10280.0, 10280.0]",0,"[10280, 10280, 10280]"
021080,KOSDAQ,에이티넘인베스트,"[51.63, 42.38, 42.38]","[48.5033, 25.4855, 7.1611]","[68.2183, 59.6718, 49.1696]","[58786912.0, 58786912.0, 59407786.0]","[59003278.0, 59041582.0, 59121550.0]","[59222339.0, 59198500.0, 59148026.0, 59037081.0]",1502.0,1493449849.75,884635030.0,0.005889713914780293,5.98,523.0,2026-05-18,2,2,Financials,하락(-0.85%) TIGER 200 금융,"[3390.25, 3400.5, 3407.5]","[3191.7, 3192.2, 3186.3]","[2877.75, 2875.0, 2872.5]",0,"[3130, 3130, 3355]"
080420,KOSDAQ,모다이노칩,"[22.05, 20.69, 21.87]","[-52.3014, -60.7542, -66.2856]","[-26.7861, -33.5797, -40.1209]","[2495693.0, 2484743.0, 2494588.0]","[2527434.0, 2537969.0, 2549721.0]","[2550641.0, 2553303.0, 2556095.0, 2558136.0]",1386.0,20205844.85,19031100.0,0.00013730952380952381,0.0,-58.0,2026-05-18,1,1,Other,N/A,"[1926.5, 1939.85, 1952.9]","[1992.08, 1996.84, 1998.38]","[2019.32, 2022.38, 2025.49]",0,"[1738, 1733, 1755]"
453450,KOSDAQ,그리드위즈,"[45.81, 37.8, 35.55]","[516.8841, 224.1337, -58.0398]","[909.8745, 772.7263, 606.5731]","[61280742.0, 61394373.0, 61561805.0]","[61837988.0, 62084123.0, 62287152.0]","[62113318.0, 62114879.0, 62097684.0, 62061548.0]",1528.0,7227760861.5,2186260440.0,0.014307987172774869,71.26,270.0,2026-05-18,0,4,Utilities,상승(+22.34%) TIGER KRX 기후변화솔루션,"[22893.0, 22976.0, 22982.5]","[21333.4, 21317.0, 21239.6]","[18367.7, 18377.0, 18384.9]",0,"[19240, 19870, 21750]"
255440,KOSDAQ,야스,"[39.36, 37.2, 37.1]","[-180.7895, -234.6684, -275.0046]","[-27.7089, -69.1008, -110.2815]","[7569007.0, 7610478.0, 7709505.0]","[7780931.0, 7871366.0, 7937927.0]","[8033215.0, 8063952.0, 8094138.0, 8122284.0]",1319.0,1116401692.5,418857100.0,0.003175565579984837,0.0,-422.0,2026-05-18,0,2,Information Technology,상승(+50.13%) TIGER 200 IT,"[11137.0, 11228.5, 11331.0]","[11096.4, 11084.4, 11060.8]","[9649.3, 9640.3, 9629.7]",0,"[10100, 10110, 10330]"
149950,KOSDAQ,아바텍,"[53.8, 48.44, 45.62]","[600.9736, 489.124, 366.4029]","[722.5395, 675.8564, 613.9657]","[2307756.0, 2359473.0, 2470871.0]","[2469951.0, 2509561.0, 2519704.0]","[2416504.0, 2418956.0, 2404633.0, 2366399.0]",1654.0,1565937156.0,625775700.0,0.003783408101571947,26.36,459.0,2026-05-18,1,1,Information Technology,상승(+50.13%) TIGER 200 IT,"[13306.5, 13368.5, 13357.5]","[11477.2, 11430.6, 11353.8]","[9876.45, 9858.6, 9838.45]",0,"[12100, 12470, 13110]"
125210,KOSDAQ,아모그린텍,"[54.21, 50.9, 48.55]","[1193.3574, 1011.7891, 835.6681]","[1545.9813, 1439.1429, 1318.4479]","[44045865.0, 44331941.0, 44641305.0]","[45825917.0, 46197937.0, 46611538.0]","[45780667.0, 45666977.0, 45514928.0, 45338983.0]",2047.0,11765546416.0,3550203160.0,0.017343444846116267,34.76,357.0,2026-05-18,2,2,Materials,상승(+1.52%) KODEX 소재산업,"[13753.0, 13651.5, 13500.0]","[10245.6, 10135.4, 10003.8]","[7613.65, 7585.05, 7554.6]",0,"[12410, 12690, 13070]"
027710,KOSDAQ,팜스토리,"[49.83, 46.98, 44.63]","[14.147, 9.5122, 3.858]","[18.7953, 16.9387, 14.3225]","[53396053.0, 55700734.0, 56876244.0]","[57219807.0, 57261375.0, 56742665.0]","[50558286.0, 50179607.0, 49636224.0, 49110670.0]",1483.0,2834052863.0,3067530411.0,0.020684628530006743,4.93,270.0,2026-05-18,1,2,Consumer Staples,상승(+2.40%) KODEX 필수소비재,"[1384.75, 1389.45, 1392.7]","[1359.98, 1361.16, 1360.36]","[1232.92, 1232.79, 1232.54]",0,"[1331, 1355, 1383]"
263860,KOSDAQ,지니언스,"[49.61, 45.06, 44.44]","[195.6247, 128.6341, 69.8963]","[307.1534, 271.4495, 231.1389]","[9235325.0, 9318979.0, 9745679.0]","[9673305.0, 9759127.0, 9825471.0]","[9960782.0, 10035575.0, 10030587.0, 9946617.0]",1350.0,2207313702.5,1243934980.0,0.009214333185185185,18.0,826.0,2026-05-18,0,2,Information Technology,상승(+50.13%) TIGER 200 IT,"[15781.5, 15916.5, 16026.0]","[14659.6, 14644.4, 14605.4]","[18661.7, 18702.1, 18737.2]",0,"[14870, 14930, 15350]"
