티커,종목명,PER,EPS,PBR,외국인보유율,날짜
007070,GS리테일,25.79,954.0,0.63,13.55,20260730
009420,한올바이오파마,-,-97.0,12.2,3.18,20260730
002790,아모레퍼시픽홀딩스,19.51,1312.0,0.66,13.98,20260730
085620,미래에셋생명,17.58,811.0,0.65,1.13,20260730
051600,한전KPS,13.73,3165.0,1.49,9.09,20260730
006360,GS건설,29.2,762.0,0.39,18.75,20260730
439260,대한조선,6.65,7377.0,1.65,2.57,20260730
204320,HL만도,15.56,2554.0,0.66,17.05,20260730
489790,한화비전,51.93,674.0,2.04,23.15,20260730
462870,시프트업,9.46,3262.0,1.87,37.12,20260730
073240,금호타이어,5.05,1204.0,0.78,7.17,20260730
395400,SK리츠,-,-,-,8.12,20260730
008770,호텔신라,-,-4017.0,1.46,20.43,20260730
103140,풍산,9.14,6552.0,0.7,13.58,20260730
000120,CJ대한통운,6.95,10558.0,0.35,16.77,20260730
006040,동원산업,3.65,9628.0,0.42,4.23,20260730
071970,HD현대마린엔진,9.06,5288.0,3.25,13.07,20260730
001800,오리온홀딩스,11.8,2149.0,0.61,10.03,20260730
112610,씨에스윈드,-,-407.0,1.22,15.8,20260730
023590,다우기술,2.5,13677.0,0.41,27.48,20260730
011210,현대위아,42.0,1288.0,0.39,19.54,20260730
000155,두산우,85.16,4286.0,2.96,8.9,20260730
069620,대웅제약,7.27,17249.0,1.41,14.22,20260730
457190,이수스페셜티케미컬,-,-37.0,10.62,5.99,20260730
475150,SK이터닉스,57.34,729.0,5.26,7.62,20260730
001120,LX인터내셔널,13.3,2685.0,0.45,27.33,20260730
020560,아시아나항공,-,-3165.0,2.79,3.48,20260730
120110,코오롱인더,14.49,3177.0,0.34,19.6,20260730
089860,롯데렌탈,10.57,3553.0,0.88,7.58,20260730
006280,녹십자,-,-1189.0,1.06,23.32,20260730
001740,SK네트웍스,14.79,436.0,0.61,18.26,20260730
007310,오뚜기,18.36,17919.0,0.54,11.42,20260730
298020,효성티앤씨,44.14,6763.0,0.79,19.55,20260730
097230,HJ중공업,17.36,823.0,1.86,5.16,20260730
082640,동양생명,12.84,640.0,0.7,49.52,20260730
294870,IPARK현대산업개발,8.33,2325.0,0.38,17.3,20260730
020150,롯데에너지머티리얼즈,-,-2086.0,0.74,9.2,20260730
192080,더블유게임즈,8.37,7167.0,0.91,21.42,20260730
415640,KB발해인프라,-,-,-,1.22,20260730
336260,두산퓨얼셀,-,-1660.0,4.35,20.53,20260730
004000,롯데정밀화학,9.59,4744.0,0.47,23.68,20260730
001430,세아베스틸지주,15.93,2003.0,0.59,8.86,20260730
012630,HDC,3.81,5009.0,0.32,24.13,20260730
003540,대신증권,8.5,2816.0,0.42,10.14,20260730
000815,삼성화재우,9.09,41543.0,0.66,34.17,20260730
322000,HD현대에너지솔루션,17.42,5805.0,2.57,6.11,20260730
181710,NHN,18.99,1780.0,0.7,12.79,20260730
000080,하이트진로,28.3,554.0,0.98,7.16,20260730
361610,SK아이이테크놀로지,-,-3476.0,0.42,3.87,20260730
281820,케이씨텍,14.77,3730.0,1.97,11.85,20260730
330590,롯데리츠,-,-,-,7.43,20260730
229640,LS에코에너지,24.08,1414.0,4.51,7.07,20260730
017960,한국카본,10.76,1839.0,1.68,13.82,20260730
003570,SNT다이내믹스,15.97,1926.0,0.83,13.67,20260730
300720,한일시멘트,13.12,1041.0,0.56,4.21,20260730
030610,교보증권,6.25,1401.0,0.46,0.99,20260730
280360,롯데웰푸드,14.98,7074.0,0.42,14.2,20260730
005300,롯데칠성,16.19,6423.0,0.68,16.91,20260730
003090,대웅,5.2,3167.0,0.56,5.08,20260730
003240,태광산업,27.81,30640.0,0.18,3.3,20260730
009155,삼성전기우,30.23,10587.0,2.46,28.47,20260730
