회사명,종목코드,업종,Sector
BGF,027410,화학,Materials
월덱스,101160,반도체와반도체장비,Information Technology
네패스,033640,반도체와반도체장비,Information Technology
나라스페이스테크놀로지,478340,우주항공과국방,Industrials
KB스타리츠,432320,부동산,Financials
대상홀딩스,084690,식품,Consumer Staples
한국철강,104700,철강,Materials
더핑크퐁컴퍼니,403850,방송과엔터테인먼트,Consumer Discretionary
한양디지텍,078350,반도체와반도체장비,Information Technology
천일고속,000650,도로와철도운송,Industrials
더본코리아,475560,"호텔,레스토랑,레저",Consumer Discretionary
삼아알미늄,006110,비철금속,Materials
나무가,190510,핸드셋,Information Technology
KISCO홀딩스,001940,철강,Materials
한전산업,130660,전기유틸리티,Utilities
콜마비앤에이치,200130,건강관리업체및서비스,Health Care
KH바텍,060720,핸드셋,Information Technology
서울반도체,046890,디스플레이장비및부품,Information Technology
코람코더원리츠,417310,부동산,Financials
에이팩트,200470,반도체와반도체장비,Information Technology
PS일렉트로닉스,332570,핸드셋,Information Technology
에스비비테크,389500,기계,Industrials
큐리오시스,494120,생명과학도구및서비스,Health Care
영진약품,003520,제약,Health Care
펨트론,168360,전자장비와기기,Information Technology
진에어,272450,항공사,Industrials
현대퓨처넷,126560,화장품,Consumer Discretionary
SBS,034120,방송과엔터테인먼트,Consumer Discretionary
계양전기,012200,자동차부품,Consumer Discretionary
인탑스,049070,핸드셋,Information Technology
미래나노텍,095500,디스플레이장비및부품,Information Technology
케이프,064820,증권,Financials
코오롱ENP,138490,화학,Materials
한스바이오메드,042520,건강관리장비와용품,Health Care
디아이티,110990,디스플레이장비및부품,Information Technology
에스오에스랩,464080,전자장비와기기,Information Technology
골프존,215000,"호텔,레스토랑,레저",Consumer Discretionary
일진홀딩스,015860,전기장비,Utilities
한섬,020000,"섬유,의류,신발,호화품",Consumer Discretionary
에이스침대,003800,가구,Consumer Discretionary
한국비엔씨,256840,건강관리장비와용품,Health Care
석경에이티,357550,화학,Materials
유진투자증권,001200,증권,Financials
애경산업,018250,화장품,Consumer Discretionary
DS단석,017860,화학,Materials
솔트룩스,304100,IT서비스,Information Technology
세아제강,306200,철강,Materials
사조대림,003960,식품,Consumer Staples
남해화학,025860,화학,Materials
SIMPAC,009160,비철금속,Materials
KG케미칼,001390,자동차,Consumer Discretionary
제이에스코퍼레이션,194370,"섬유,의류,신발,호화품",Consumer Discretionary
덕산테코피아,317330,반도체와반도체장비,Information Technology
대덕,008060,전자장비와기기,Information Technology
신성이엔지,011930,반도체와반도체장비,Information Technology
티엠씨,217590,조선,Industrials
롯데이노베이트,286940,IT서비스,Information Technology
대명에너지,389260,에너지장비및서비스,Energy
셀바스AI,108860,건강관리장비와용품,Health Care
한솔아이원스,114810,반도체와반도체장비,Information Technology
수산인더스트리,126720,에너지장비및서비스,Energy
콜마홀딩스,024720,화장품,Consumer Discretionary
에코앤드림,101360,화학,Materials
이지홀딩스,035810,식품,Consumer Staples
하림,136480,식품,Consumer Staples
바이오니아,064550,생물공학,Health Care
에이비온,203400,제약,Health Care
진성티이씨,036890,기계,Industrials
그린광학,0015G0,우주항공과국방,Industrials
에스엔시스,0008Z0,조선,Industrials
한라IMS,092460,조선,Industrials
바이오플러스,099430,건강관리장비와용품,Health Care
국도화학,007690,화학,Materials
아세아제지,002310,포장재,Materials
SK증권,001510,증권,Financials
휴온스,243070,제약,Health Care
유니셈,036200,반도체와반도체장비,Information Technology
대아티아이,045390,IT서비스,Information Technology
에이직랜드,445090,반도체와반도체장비,Information Technology
대화제약,067080,제약,Health Care
디앤디플랫폼리츠,377190,부동산,Financials
유나이티드제약,033270,제약,Health Care
서울가스,017390,가스유틸리티,Energy
바디텍메드,206640,생명과학도구및서비스,Health Care
광동제약,009290,제약,Health Care
에스투더블유,488280,IT서비스,Information Technology
삼화콘덴서,001820,전기제품,Utilities
KPX홀딩스,092230,화학,Materials
한국토지신탁,034830,부동산,Financials
오픈엣지테크놀로지,394280,반도체와반도체장비,Information Technology
CJ프레시웨이,051500,식품과기본식료품소매,Consumer Staples
HLB이노베이션,024850,반도체와반도체장비,Information Technology
한국자산신탁,123890,부동산,Financials
나우로보틱스,459510,기계,Industrials
에코아이,448280,상업서비스와공급품,Industrials
우림피티에스,101170,기계,Industrials
제이브이엠,054950,건강관리장비와용품,Health Care
넥센,005720,자동차부품,Consumer Discretionary
남양유업,003920,식품,Consumer Staples
SGC에너지,005090,에너지장비및서비스,Energy
매커스,093520,반도체와반도체장비,Information Technology
화승엔터프라이즈,241590,"섬유,의류,신발,호화품",Consumer Discretionary
신성에스티,416180,전기제품,Utilities
한진,002320,항공화물운송과물류,Industrials
엘앤케이바이오,156100,건강관리장비와용품,Health Care
쿠콘,294570,IT서비스,Information Technology
우주일렉트로,065680,핸드셋,Information Technology
글로벌텍스프리,204620,기타금융,Financials
이리츠코크렙,088260,부동산,Financials
이지스밸류플러스리츠,334890,부동산,Financials
셀비온,308430,제약,Health Care
케이엔알시스템,199430,기계,Industrials
화신,010690,자동차부품,Consumer Discretionary
DB,012030,IT서비스,Information Technology
AP시스템,265520,디스플레이장비및부품,Information Technology
삼양엔씨켐,482630,반도체와반도체장비,Information Technology
뷰노,338220,건강관리기술,Health Care
한국정보통신,025770,IT서비스,Information Technology
에이유브랜즈,481070,"섬유,의류,신발,호화품",Consumer Discretionary
켄코아에어로스페이스,274090,우주항공과국방,Industrials
모토닉,009680,자동차부품,Consumer Discretionary
바텍,043150,건강관리장비와용품,Health Care
삼목에스폼,018310,건축제품,Materials
삼영무역,002810,화학,Materials
뉴로핏,380550,건강관리기술,Health Care
더즌,462860,IT서비스,Information Technology
대성산업,128820,석유와가스,Energy
현대코퍼레이션,011760,무역회사와판매업체,Consumer Discretionary
네오팜,092730,화장품,Consumer Discretionary
엘브이엠씨홀딩스,900140,자동차,Consumer Discretionary
대원전선,006340,전기장비,Utilities
HLB테라퓨틱스,115450,제약,Health Care
삼지전자,037460,통신장비,Information Technology
서호전기,065710,운송인프라,Industrials
KG이니시스,035600,IT서비스,Information Technology
삼성SDI우,006405,전기제품,Utilities
범한퓨얼셀,382900,전기제품,Utilities
헬릭스미스,084990,생물공학,Health Care
사피엔반도체,452430,반도체와반도체장비,Information Technology
티엑스알로보틱스,484810,기계,Industrials
풍원정밀,371950,디스플레이장비및부품,Information Technology
유진기업,023410,건축자재,Industrials
현대약품,004310,제약,Health Care
지누스,013890,가구,Consumer Discretionary
SJG세종,033530,자동차부품,Consumer Discretionary
대원강업,000430,자동차부품,Consumer Discretionary
비츠로테크,042370,전기제품,Utilities
대양전기공업,108380,조선,Industrials
대신밸류리츠,0030R0,부동산,Financials
GRT,900290,화학,Materials
슈프리마,236200,전자장비와기기,Information Technology
LS네트웍스,000680,증권,Financials
일성아이에스,003120,제약,Health Care
싸이닉솔루션,234030,반도체와반도체장비,Information Technology
보성파워텍,006910,전기장비,Utilities
듀켐바이오,176750,제약,Health Care
사조산업,007160,식품,Consumer Staples
LS증권,078020,증권,Financials
필에너지,378340,전기제품,Utilities
BYC,001460,"섬유,의류,신발,호화품",Consumer Discretionary
에스엠벡셀,010580,자동차부품,Consumer Discretionary
에브리봇,270660,가정용기기와용품,Consumer Discretionary
뉴파워프라즈마,144960,반도체와반도체장비,Information Technology
덕산하이메탈,077360,반도체와반도체장비,Information Technology
세방,004360,항공화물운송과물류,Industrials
엔케이맥스,182400,생명과학도구및서비스,Health Care
도우인시스,484120,디스플레이장비및부품,Information Technology
해성산업,034810,종이와목재,Materials
노루홀딩스,000320,건축자재,Industrials
TYM,002900,기계,Industrials
JW홀딩스,096760,제약,Health Care
플리토,300080,양방향미디어와서비스,Communication Services
넥스틸,092790,철강,Materials
원익,032940,화장품,Consumer Discretionary
아이패밀리에스씨,114840,화장품,Consumer Discretionary
매일유업,267980,식품,Consumer Staples
대동,000490,기계,Industrials
중앙첨단소재,051980,통신장비,Information Technology
에이블씨엔씨,078520,화장품,Consumer Discretionary
대원제약,003220,제약,Health Care
KG에코솔루션,151860,자동차,Consumer Discretionary
백산,035150,"섬유,의류,신발,호화품",Consumer Discretionary
비덴트,121800,디스플레이패널,Information Technology
노바렉스,194700,건강관리업체및서비스,Health Care
유니테스트,086390,반도체와반도체장비,Information Technology
알멕,354320,자동차부품,Consumer Discretionary
CMG제약,058820,제약,Health Care
코난테크놀로지,402030,소프트웨어,Information Technology
무학,033920,음료,Consumer Staples
일신방직,003200,"섬유,의류,신발,호화품",Consumer Discretionary
아이마켓코리아,122900,상업서비스와공급품,Industrials
메카로,241770,반도체와반도체장비,Information Technology
위니아에이드,377460,상업서비스와공급품,Industrials
삼진제약,005500,제약,Health Care
한국정보인증,053300,IT서비스,Information Technology
BGF에코머티리얼즈,126600,화학,Materials
대원산업,005710,자동차부품,Consumer Discretionary
프레스티지바이오로직스,334970,제약,Health Care
LX하우시스,108670,건축자재,Industrials
인트로메딕,150840,건강관리장비와용품,Health Care
일양약품,007570,제약,Health Care
메디아나,041920,건강관리장비와용품,Health Care
대한제당,001790,식품,Consumer Staples
대한제강,084010,철강,Materials
잇츠한불,226320,화장품,Consumer Discretionary
노머스,473980,방송과엔터테인먼트,Consumer Discretionary
넵튠,217270,게임엔터테인먼트,Communication Services
PKC,001340,화학,Materials
모베이스전자,012860,자동차부품,Consumer Discretionary
SG,255220,건축자재,Industrials
한농화성,011500,화학,Materials
동원개발,013120,건설,Industrials
JTC,950170,백화점과일반상점,Consumer Discretionary
상아프론테크,089980,전자장비와기기,Information Technology
한국캐피탈,023760,기타금융,Financials
모트렉스,118990,자동차부품,Consumer Discretionary
세나테크놀로지,061090,통신장비,Information Technology
광주신세계,037710,백화점과일반상점,Consumer Discretionary
토비스,051360,디스플레이장비및부품,Information Technology
제테마,216080,건강관리장비와용품,Health Care
한화갤러리아,452260,백화점과일반상점,Consumer Discretionary
유니슨,018000,에너지장비및서비스,Energy
아스트,067390,우주항공과국방,Industrials
나이스정보통신,036800,상업서비스와공급품,Industrials
케이티알파,036030,인터넷과카탈로그소매,Information Technology
알에스오토메이션,140670,기계,Industrials
피에이치에이,043370,자동차부품,Consumer Discretionary
한양증권,001750,증권,Financials
자람테크놀로지,389020,통신장비,Information Technology
제이오,418550,건설,Industrials
마녀공장,439090,화장품,Consumer Discretionary
대한제분,001130,식품,Consumer Staples
피아이이,452450,IT서비스,Information Technology
SK디앤디,210980,부동산,Financials
루미르,474170,우주항공과국방,Industrials
클리오,237880,화장품,Consumer Discretionary
윤성에프앤씨,372170,전자장비와기기,Information Technology
성신양회,004980,건축자재,Industrials
파멥신,208340,생물공학,Health Care
압타바이오,293780,건강관리업체및서비스,Health Care
LG생활건강우,051905,화장품,Consumer Discretionary
미래반도체,254490,반도체와반도체장비,Information Technology
인터플렉스,051370,전자장비와기기,Information Technology
서연,007860,자동차부품,Consumer Discretionary
오로스테크놀로지,322310,반도체와반도체장비,Information Technology
코리아에프티,123410,자동차부품,Consumer Discretionary
서흥,008490,제약,Health Care
엘티씨,170920,반도체와반도체장비,Information Technology
삼성물산우B,02826K,복합기업,Industrials
에이프로젠,007460,제약,Health Care
디오,039840,건강관리장비와용품,Health Care
포스코스틸리온,058430,비철금속,Materials
하이비젼시스템,126700,핸드셋,Information Technology
경방,000050,"섬유,의류,신발,호화품",Consumer Discretionary
이월드,084680,"섬유,의류,신발,호화품",Consumer Discretionary
LB세미콘,061970,반도체와반도체장비,Information Technology
미래에셋증권우,006805,증권,Financials
동아지질,028100,건설,Industrials
선진,136490,식품,Consumer Staples
노바텍,285490,핸드셋,Information Technology
AP위성,211270,통신장비,Information Technology
코오롱글로벌,003070,건설,Industrials
더블유씨피,393890,전기제품,Utilities
이수앱지스,086890,제약,Health Care
동국홀딩스,001230,철강,Materials
텔레칩스,054450,반도체와반도체장비,Information Technology
엠아이텍,179290,건강관리장비와용품,Health Care
KZ정밀,036560,기계,Industrials
메드팩토,235980,제약,Health Care
엘오티베큠,083310,반도체와반도체장비,Information Technology
종근당홀딩스,001630,제약,Health Care
휴스틸,005010,철강,Materials
방림,003610,"섬유,의류,신발,호화품",Consumer Discretionary
신세계 I&C,035510,IT서비스,Information Technology
스카이라이프,053210,방송과엔터테인먼트,Consumer Discretionary
오가노이드사이언스,476040,생물공학,Health Care
에이플러스에셋,244920,손해보험,Financials
하나기술,299030,전자장비와기기,Information Technology
CR홀딩스,000480,비철금속,Materials
이수화학,005950,화학,Materials
리파인,377450,상업서비스와공급품,Industrials
에이스테크,088800,통신장비,Information Technology
아크릴,0007C0,IT서비스,Information Technology
흥국화재,000540,손해보험,Financials
폴라리스오피스,041020,자동차부품,Consumer Discretionary
헥토파이낸셜,234340,IT서비스,Information Technology
제일약품,271980,제약,Health Care
하이트진로홀딩스,000140,음료,Consumer Staples
오킨스전자,080580,반도체와반도체장비,Information Technology
한국화장품제조,003350,화장품,Consumer Discretionary
잉글우드랩,950140,화장품,Consumer Discretionary
대성에너지,117580,가스유틸리티,Energy
신한서부티엔디리츠,404990,부동산,Financials
한국알콜,017890,화학,Materials
디지털대성,068930,교육서비스,Industrials
소룩스,290690,디스플레이장비및부품,Information Technology
이노테크,469610,디스플레이장비및부품,Information Technology
비보존 제약,082800,제약,Health Care
박셀바이오,323990,제약,Health Care
한국공항,005430,운송인프라,Industrials
어보브반도체,102120,반도체와반도체장비,Information Technology
미원화학,134380,화학,Materials
제일일렉트릭,199820,전기장비,Utilities
지놈앤컴퍼니,314130,제약,Health Care
송원산업,004430,화학,Materials
교촌에프앤비,339770,식품,Consumer Staples
HDC랩스,039570,건설,Industrials
이랜시스,264850,전자장비와기기,Information Technology
엑스게이트,356680,소프트웨어,Information Technology
피에스텍,002230,전기제품,Utilities
동성케미컬,102260,화학,Materials
킵스파마,256940,비철금속,Materials
AJ네트웍스,095570,도로와철도운송,Industrials
제노코,361390,우주항공과국방,Industrials
와이엠티,251370,화학,Materials
우진엔텍,457550,에너지장비및서비스,Energy
알루코,001780,비철금속,Materials
도화엔지니어링,002150,건설,Industrials
네오위즈홀딩스,042420,게임엔터테인먼트,Communication Services
이랜텍,054210,핸드셋,Information Technology
다올투자증권,030210,증권,Financials
삼익THK,004380,기계,Industrials
미창석유,003650,화학,Materials
헥토이노베이션,214180,IT서비스,Information Technology
엑시콘,092870,반도체와반도체장비,Information Technology
아이티엠반도체,084850,전자장비와기기,Information Technology
제넥신,095700,생물공학,Health Care
액트로,290740,핸드셋,Information Technology
삼영엠텍,054540,조선,Industrials
큐브엔터,182360,방송과엔터테인먼트,Consumer Discretionary
토니모리,214420,화장품,Consumer Discretionary
신흥에스이씨,243840,전기제품,Utilities
RF머트리얼즈,327260,우주항공과국방,Industrials
나노엔텍,039860,생명과학도구및서비스,Health Care
삼영전자,005680,전기제품,Utilities
흥구석유,024060,석유와가스,Energy
와이씨켐,112290,반도체와반도체장비,Information Technology
컨텍,451760,우주항공과국방,Industrials
에어부산,298690,항공사,Industrials
인선이엔티,060150,상업서비스와공급품,Industrials
시너지이노베이션,048870,건강관리장비와용품,Health Care
CJ우,001045,복합기업,Industrials
삼일제약,000520,제약,Health Care
HS효성,487570,복합기업,Industrials
아나패스,123860,디스플레이장비및부품,Information Technology
유비케어,032620,건강관리기술,Health Care
삼화전기,009470,전기제품,Utilities
강스템바이오텍,217730,생물공학,Health Care
금호석유화학우,011785,화학,Materials
일진파워,094820,건설,Industrials
KPX케미칼,025000,화학,Materials
아이씨티케이,456010,통신장비,Information Technology
동양,001520,건축자재,Industrials
강남제비스코,000860,건축자재,Industrials
대신증권2우B,003547,증권,Financials
이연제약,102460,제약,Health Care
인포바인,115310,IT서비스,Information Technology
KSS해운,044450,해운사,Industrials
켐트로스,220260,화학,Materials
