"symbol","market","name","sector","sector_trend","type","base_date","target_date","days_elapsed","close","market_cap","avg_trading_value_20d","today_trading_value","turnover","per","eps","cap_status","upper_closes","lower_closes","rsi_d","macd_d","signal_d","obv_d","signal_obv_9d","signal_obv_20d","ma20","ma50","ma200","break_20high","close_d","latest_close","latest_update","change_rate"
"336570","KR","원텍","Health Care","하락(-2.95%) TIGER 헬스케어","short","2025-12-30","2026-01-29","30","7750.0","697259000000.0","3540537176.0","8941485000.0","0.012823765","23.7","327.0","2025-12-30","2","2","[34.78, 42.34, 53.65]","[-166.547, -164.0466, -124.3206]","[-150.8693, -153.5047, -147.6679]","[30643990.0, 29490250.0, 29197962.0]","[30194288.0, 30184089.0, 30347228.0]","[30208529.0, 30162158.0, 30195750.0, 30217012.0]","[7517.0, 7502.5, 7518.0]","[7835.6, 7854.8, 7878.4]","[9227.8, 9220.3, 9216.1]","0","[7750, 7300, 7070]","9390.0","2026-01-29","21.16"
"031330","KR","에스에이엠티","Consumer Discretionary","상승(+11.87%) TIGER 200 경기소비재","short","2025-12-30","2026-01-29","30","4150.0","414980000000.0","5114864821.0","53346407400.0","0.1285519014652993","7.46","556.0","2025-12-30","2","1","[49.06, 43.16, 65.92]","[17.5019, 5.98, 35.9731]","[31.3235, 26.2548, 28.1985]","[30461749.0, 17607193.0, 18520673.0]","[21422538.0, 20352757.0, 20891748.0]","[21419944.0, 20913027.0, 21073944.0, 21149172.0]","[3825.75, 3806.5, 3816.25]","[3741.8, 3732.9, 3729.8]","[3138.7, 3131.62, 3126.9]","1","[4150, 3660, 3755]","4595.0","2026-01-29","10.72"
"037460","KR","삼지전자","Information Technology","상승(+4.98%) TIGER 200 IT","short","2025-12-30","2026-01-29","30","14740.0","240535000000.0","817841530.5","1797675660.0","0.007473655","3.68","4009.0","2025-12-30","1","0","[68.39, 57.26, 67.08]","[396.5592, 359.8387, 377.2247]","[400.9845, 392.7554, 389.6492]","[4845294.0, 4723335.0, 4803670.0]","[4797977.0, 4786876.0, 4794329.0]","[4766973.0, 4752803.0, 4740790.0, 4726500.0]","[14110.0, 14036.0, 13988.5]","[13180.4, 13136.4, 13106.8]","[11505.55, 11481.05, 11461.2]","1","[14740, 14110, 14480]","21900.0","2026-01-29","48.58"
"033920","KR","무학","Consumer Staples","상승(+1.11%) KODEX 필수소비재","short","2025-12-30","2026-01-29","30","9450.0","269325000000.0","696042724.5","5351412150.0","0.019869719","5.17","1828.0","2025-12-30","1","2","[52.66, 45.72, 67.78]","[92.139, 65.6162, 132.6354]","[87.5901, 83.1953, 93.0833]","[14217849.0, 13651562.0, 13698011.0]","[13796102.0, 13755747.0, 13787350.0]","[13807080.0, 13786781.0, 13796534.0, 13802849.0]","[8563.5, 8496.0, 8486.5]","[8422.2, 8384.4, 8374.8]","[7833.75, 7819.2, 7810.5]","1","[9450, 8340, 8570]","8890.0","2026-01-29","-5.93"
"047560","KR","이스트소프트","Information Technology","상승(+16.26%) TIGER 200 IT","short","2026-01-02","2026-02-01","31","17750.0","208251000000.0","589914487.5","1569650250.0","0.007537312","0.0","0.0","2026-01-02","2","1","[37.61, 37.44, 49.8]","[-680.8225, -661.8608, -558.0946]","[-645.5899, -648.8441, -630.6942]","[92602509.0, 92514078.0, 92540753.0]","[92558669.0, 92561718.0, 92578146.0]","[92626694.0, 92631807.0, 92642975.0, 92649139.0]","[17549.5, 17597.0, 17700.5]","[19032.4, 19109.4, 19208.8]","[20289.6, 20292.45, 20300.8]","0","[17750, 16730, 16750]","18700.0","2026-02-01","5.35"
"402030","KR","코난테크놀로지","Information Technology","상승(+16.26%) TIGER 200 IT","short","2026-01-02","2026-02-01","31","21750.0","272255000000.0","646648113.5","1379211000.0","0.005065873","0.0","0.0","2026-01-02","1","1","[37.15, 33.81, 52.85]","[-800.6989, -813.508, -651.5379]","[-809.4475, -810.2596, -778.5153]","[13881639.0, 13818227.0, 13843651.0]","[13841003.0, 13834902.0, 13837566.0]","[13909007.0, 13918666.0, 13930429.0, 13939067.0]","[21075.5, 21113.0, 21240.0]","[22917.2, 23005.2, 23122.0]","[26932.57, 26926.45, 26928.82]","0","[21750, 19710, 20200]","23100.0","2026-02-01","6.21"
"025860","KR","남해화학","Consumer Staples","하락(-3.16%) KODEX 필수소비재","short","2026-01-02","2026-02-01","31","6720.0","333842000000.0","326509425.5","1200870720.0","0.003597125","12.8","525.0","2026-01-02","1","2","[51.66, 48.03, 53.32]","[47.2158, 38.019, 35.1666]","[45.12, 43.6998, 41.9931]","[9626947.0, 9448246.0, 9469363.0]","[9500153.0, 9484731.0, 9489164.0]","[9462354.0, 9448410.0, 9444642.0, 9440732.0]","[6708.0, 6698.5, 6692.5]","[6621.0, 6623.6, 6627.2]","[6947.65, 6946.55, 6945.85]","0","[6720, 6660, 6700]","6860.0","2026-02-01","2.08"
"161890","KR","한국콜마","Materials","하락(-1.55%) KODEX 소재산업","short","2026-01-02","2026-02-01","31","65400.0","1543770000000.0","7338450990.0","17765844600.0","0.011508075","17.08","3830.0","2026-01-02","2","2","[37.92, 37.92, 53.41]","[-1625.8144, -1571.7851, -1248.2945]","[-1627.5367, -1616.3864, -1542.768]","[213225.0, -58424.0, -58424.0]","[10273.0, -5421.0, 23192.0]","[71742.0, 69087.0, 74717.0, 85370.0]","[63785.0, 63800.0, 63965.0]","[67390.0, 67622.0, 67904.0]","[78162.0, 78144.5, 78151.0]","0","[65400, 62100, 62100]","69900.0","2026-02-01","6.88"
"090435","KR","아모레퍼시픽우","Materials","하락(-1.55%) KODEX 소재산업","short","2026-01-02","2026-02-01","31","45350.0","478798000000.0","608341497.5","1272793100.0","0.002658311","0.0","0.0","2026-01-02","1","1","[42.48, 44.18, 53.64]","[-323.2591, -352.4386, -243.6483]","[-30.4849, -94.8757, -124.6302]","[1163149.0, 1135083.0, 1128778.0]","[1143958.0, 1143580.0, 1147793.0]","[1161081.0, 1162895.0, 1166113.0, 1168228.0]","[44922.5, 45042.5, 45242.5]","[44363.0, 44259.0, 44188.0]","[41479.0, 41427.25, 41385.5]","0","[45350, 43750, 43500]","51500.0","2026-02-01","13.56"
"352480","KR","씨앤씨인터내셔널","Materials","하락(-1.55%) KODEX 소재산업","short","2026-01-02","2026-02-01","31","32900.0","448424000000.0","913496507.5","2182454400.0","0.004866947","10.14","3245.0","2026-01-02","1","4","[39.38, 34.92, 54.09]","[-642.7233, -740.2745, -549.0081]","[-817.8585, -802.3417, -751.675]","[-1635507.0, -1701843.0, -1662636.0]","[-1638972.0, -1636834.0, -1630022.0]","[-1660163.0, -1657296.0, -1651852.0, -1647091.0]","[31387.5, 31400.0, 31535.0]","[33535.0, 33651.0, 33828.0]","[37684.0, 37685.5, 37706.5]","0","[32900, 29650, 30600]","38050.0","2026-02-01","15.65"
